level,page_num,block_num,par_num,line_num,word_num,left,top,width,height,conf,text
1,1,0,0,0,0,0,0,1008,756,-1,
2,1,1,0,0,0,892,0,116,54,-1,
3,1,1,1,0,0,892,0,116,54,-1,
4,1,1,1,1,0,892,0,116,54,-1,
5,1,1,1,1,1,892,0,116,54,95.000000, 
2,1,2,0,0,0,892,162,60,146,-1,
3,1,2,1,0,0,892,162,60,146,-1,
4,1,2,1,1,0,892,162,60,146,-1,
5,1,2,1,1,1,892,162,60,146,95.000000, 
2,1,3,0,0,0,324,352,359,67,-1,
3,1,3,1,0,0,324,352,359,67,-1,
4,1,3,1,1,0,441,352,124,23,-1,
5,1,3,1,1,1,441,352,78,23,96.762169,Chuan
5,1,3,1,1,2,533,353,32,22,96.648415,LU
4,1,3,1,2,0,324,388,359,31,-1,
5,1,3,1,2,1,324,388,70,31,96.687775,(With
5,1,3,1,2,2,407,390,70,22,96.555283,credit
5,1,3,1,2,3,488,393,25,19,96.823776,to
5,1,3,1,2,4,527,390,59,28,96.962090,Nigel
5,1,3,1,2,5,601,388,82,31,96.339783,Hardy)
2,1,4,0,0,0,354,465,300,74,-1,
3,1,4,1,0,0,354,465,300,74,-1,
4,1,4,1,1,0,378,465,252,21,-1,
5,1,4,1,1,1,378,465,94,21,96.487877,Modelling
5,1,4,1,1,2,482,465,93,17,96.553185,Persistent
5,1,4,1,1,3,586,465,44,17,96.549271,Data
4,1,4,1,2,0,461,492,86,17,-1,
5,1,4,1,2,1,461,492,86,17,51.461777,CS27020
4,1,4,1,3,0,354,518,300,21,-1,
5,1,4,1,3,1,354,518,96,21,96.068039,Computer
5,1,4,1,3,2,458,518,72,17,96.292480,Science
5,1,4,1,3,3,540,518,114,21,96.347511,Department
2,1,5,0,0,0,950,734,40,16,-1,
3,1,5,1,0,0,950,734,40,16,-1,
4,1,5,1,1,0,950,734,40,16,-1,
5,1,5,1,1,1,950,734,40,16,92.488106,1/24
1,1,0,0,0,0,0,0,1008,756,-1,
2,1,1,0,0,0,892,0,116,110,-1,
3,1,1,1,0,0,892,0,116,110,-1,
4,1,1,1,1,0,892,0,116,110,-1,
5,1,1,1,1,1,892,0,116,110,95.000000, 
2,1,2,0,0,0,69,295,298,35,-1,
3,1,2,1,0,0,69,295,298,35,-1,
4,1,2,1,1,0,69,295,298,35,-1,
5,1,2,1,1,1,69,295,34,35,92.076729,@
5,1,2,1,1,2,118,300,94,22,96.804909,Domain
5,1,2,1,1,3,226,299,141,23,96.639694,Constraints
2,1,3,0,0,0,69,424,297,70,-1,
3,1,3,1,0,0,69,424,297,70,-1,
4,1,3,1,1,0,69,424,297,35,-1,
5,1,3,1,1,1,69,424,34,35,48.328835,e
5,1,3,1,1,2,118,428,131,23,92.701469,Referential
5,1,3,1,1,3,264,429,102,27,96.856628,Integrity
4,1,3,1,2,0,119,466,192,28,-1,
5,1,3,1,2,1,119,473,14,14,78.541656,e
5,1,3,1,2,2,147,466,83,28,96.502945,Simple
5,1,3,1,2,3,242,466,69,23,96.636917,Cases
2,1,4,0,0,0,950,734,40,16,-1,
3,1,4,1,0,0,950,734,40,16,-1,
4,1,4,1,1,0,950,734,40,16,-1,
5,1,4,1,1,1,950,734,40,16,91.520599,2/24
1,2,0,0,0,0,0,0,1008,756,-1,
2,2,1,0,0,0,892,0,116,110,-1,
3,2,1,1,0,0,892,0,116,110,-1,
4,2,1,1,1,0,892,0,116,110,-1,
5,2,1,1,1,1,892,0,116,110,95.000000, 
2,2,2,0,0,0,140,265,638,105,-1,
3,2,2,1,0,0,140,265,638,105,-1,
4,2,2,1,1,0,140,265,638,27,-1,
5,2,2,1,1,1,140,265,48,21,96.930122,The
5,2,2,1,1,2,201,265,112,21,96.344620,relational
5,2,2,1,1,3,328,265,72,21,96.640282,model
5,2,2,1,1,4,413,272,49,20,96.896584,says
5,2,2,1,1,5,474,265,50,21,96.482971,that
5,2,2,1,1,6,536,265,103,21,96.542717,domains
5,2,2,1,1,7,652,269,59,17,96.502335,must
5,2,2,1,1,8,723,266,55,20,96.559364,exist
4,2,2,1,2,0,141,306,543,28,-1,
5,2,2,1,2,1,141,306,52,26,96.937447,SQL
5,2,2,1,2,2,206,307,102,27,96.566002,specifies
5,2,2,1,2,3,320,314,11,14,96.923584,a
5,2,2,1,2,4,346,308,113,20,96.472664,minimum
5,2,2,1,2,5,474,307,33,21,96.947906,list
5,2,2,1,2,6,519,307,25,21,96.878334,of
5,2,2,1,2,7,554,307,53,21,96.589462,data
5,2,2,1,2,8,619,311,65,23,96.644714,types
4,2,2,1,3,0,174,346,344,24,-1,
5,2,2,1,3,1,174,356,11,10,90.096672,e
5,2,2,1,3,2,200,347,69,19,96.952965,Varies
5,2,2,1,3,3,279,347,47,19,96.626595,with
5,2,2,1,3,4,338,348,89,18,96.580307,versions
5,2,2,1,3,5,438,346,22,20,96.769249,of
5,2,2,1,3,6,470,346,48,24,96.130539,SQL
2,2,3,0,0,0,142,389,639,58,-1,
3,2,3,1,0,0,142,389,639,58,-1,
4,2,3,1,1,0,174,389,607,15,-1,
5,2,3,1,1,1,174,389,11,10,89.892807,@
5,2,3,1,1,2,200,390,49,14,30.781372,https:
5,2,3,1,1,3,254,389,527,15,30.781372,//en.wikibooks.org/wiki/Structured_Query_Language/Data_Types
4,2,3,1,2,0,142,419,590,28,-1,
5,2,3,1,2,1,142,420,57,21,96.515686,Each
5,2,3,1,2,2,214,419,81,23,95.953949,DBMS
5,2,3,1,2,3,307,420,40,21,95.882736,will
5,2,3,1,2,4,360,420,55,21,95.987000,offer
5,2,3,1,2,5,426,420,64,21,96.995544,these
5,2,3,1,2,6,504,420,47,27,96.979050,plus
5,2,3,1,2,7,564,420,96,27,96.483551,possibly
5,2,3,1,2,8,673,427,59,14,96.593315,more
2,2,4,0,0,0,174,461,566,25,-1,
3,2,4,1,0,0,174,461,566,25,-1,
4,2,4,1,1,0,174,461,566,25,-1,
5,2,4,1,1,1,174,469,11,11,68.965950,e
5,2,4,1,1,2,202,461,100,25,92.889313,Postgres:
5,2,4,1,1,3,317,469,193,15,48.149445,nttps://wiw.postgresql
5,2,4,1,1,4,515,469,225,15,48.363327,.org/docs/11/datatype.html
2,2,5,0,0,0,141,504,783,28,-1,
3,2,5,1,0,0,141,504,783,28,-1,
4,2,5,1,1,0,141,504,783,28,-1,
5,2,5,1,1,1,141,504,67,23,96.906891,Some
5,2,5,1,1,2,220,505,119,21,96.452400,attributes
5,2,5,1,1,3,353,512,48,20,96.517883,may
5,2,5,1,1,4,415,505,82,21,96.566223,benefit
5,2,5,1,1,5,509,505,56,21,96.556725,from
5,2,5,1,1,6,578,505,83,27,96.497566,tighter
5,2,5,1,1,7,673,506,123,20,96.805603,constraint
5,2,5,1,1,8,808,512,28,14,96.597878,on
5,2,5,1,1,9,849,505,75,21,96.453186,values
2,2,6,0,0,0,974,735,15,11,-1,
3,2,6,1,0,0,974,735,15,11,-1,
4,2,6,1,1,0,974,735,15,11,-1,
5,2,6,1,1,1,974,735,15,11,93.525482,24
1,3,0,0,0,0,0,0,1008,756,-1,
2,3,1,0,0,0,892,0,116,110,-1,
3,3,1,1,0,0,892,0,116,110,-1,
4,3,1,1,1,0,892,0,116,110,-1,
5,3,1,1,1,1,892,0,116,110,95.000000, 
2,3,2,0,0,0,111,279,688,147,-1,
3,3,2,1,0,0,111,279,688,60,-1,
4,3,2,1,1,0,111,279,688,27,-1,
5,3,2,1,1,1,111,287,13,13,73.078026,e
5,3,2,1,1,2,142,279,101,27,96.605057,Limiting
5,3,2,1,1,3,255,279,130,27,96.604424,acceptable
5,3,2,1,1,4,396,279,76,21,96.957542,values
5,3,2,1,1,5,483,279,63,21,96.637581,when
5,3,2,1,1,6,558,279,39,21,95.391335,the
5,3,2,1,1,7,609,279,60,21,95.391335,table
5,3,2,1,1,8,682,280,16,20,96.484367,is
5,3,2,1,1,9,710,279,89,21,96.402969,created
4,3,2,1,2,0,174,320,192,19,-1,
5,3,2,1,2,1,174,328,11,11,85.390747,e
5,3,2,1,2,2,201,326,21,13,92.275108,or
5,3,2,1,2,3,234,320,132,19,49.864723,“ALTER"”ed
3,3,2,2,0,0,111,362,177,31,-1,
4,3,2,2,1,0,111,362,177,31,-1,
5,3,2,2,1,1,111,371,13,14,34.892616,e
5,3,2,2,1,2,142,362,56,31,96.827339,(NOT
5,3,2,2,1,3,216,362,72,31,96.882126,NULL)
3,3,2,3,0,0,111,405,382,21,-1,
4,3,2,3,1,0,111,405,382,21,-1,
5,3,2,3,1,1,111,413,13,13,39.810795,e@
5,3,2,3,1,2,140,407,78,19,96.673347,CHECK
5,3,2,3,1,3,230,405,86,21,96.081017,clauses
5,3,2,3,1,4,328,412,40,14,96.365074,can
5,3,2,3,1,5,383,405,26,21,96.528870,be
5,3,2,3,1,6,422,405,71,21,95.788773,added
2,3,3,0,0,0,174,446,421,58,-1,
3,3,3,1,0,0,174,446,421,58,-1,
4,3,3,1,1,0,174,446,288,19,-1,
5,3,3,1,1,1,174,454,11,11,25.875107,e
5,3,3,1,1,2,200,449,23,16,96.766762,to
5,3,3,1,1,3,235,446,105,19,95.945396,individual
5,3,3,1,1,4,353,446,109,19,94.796501,attributes
4,3,3,1,2,0,174,479,421,25,-1,
5,3,3,1,2,1,174,488,11,10,65.383118,e
5,3,3,1,2,2,200,482,23,16,96.464569,to
5,3,3,1,2,3,233,479,36,19,96.464569,the
5,3,3,1,2,4,279,479,61,23,95.933907,table,
5,3,3,1,2,5,353,480,122,24,96.775375,concerning
5,3,3,1,2,6,486,479,109,19,96.775375,attributes
